time,close,atr,regime,regime_ranging,regime_trending_bull,regime_trending_bear,regime_high_volatility,rsi,macd_hist,macd_hist_prev,adx,ema_spread_pct,atr_pct,vol_ratio,bb_width,bb_squeeze,ema_bull,ema_bear,ema_bull_4h,ema_bear_4h,adx_4h,funding_rate_8h,funding_rate_24h_sum,funding_rate_3d_sum,funding_zscore,funding_extreme_long,funding_extreme_short,volume_delta,buy_ratio,buy_ratio_ma10,buy_ratio_zscore,cum_delta_3bar,delta_ma,delta_price_agree,delta_price_diverge,funding_reversal_long,funding_reversal_short,label_volatile,direction_if_volatile,max_excursion_pct,vol_magnitude
2023-05-05 20:00:00+00:00,22.82,0.4513942906176602,ranging,1,0,0,0,62.02711394058666,0.12238320884374443,0.0978329445696296,17.171887714465406,0.2915733331910674,1.978064376063366,0.7448505818462796,0.07588218812469041,1.0,0.0,0.0,0.0,1.0,17.171887714465406,0.0001,0.00023223,0.00052052,0.8531104564513062,0.0,0.0,109393.0,0.5164390251965971,0.5004312024831288,1.380024048327132,401737.0,69928.0,0.0,1.0,0.0,0.0,1,-1,5.5215,1.5508
2023-05-06 00:00:00+00:00,22.72,0.4612946984306845,ranging,1,0,0,0,59.809721522468244,0.1254247000590775,0.12238320884374443,18.849867903613998,0.14306342098942212,2.030346383937872,0.966635468474043,0.08044218369924602,0.0,0.0,0.0,0.0,1.0,18.849867903613998,0.0001,0.00023223,0.00052052,0.8531104564513062,0.0,0.0,23462.0,0.5024431408991075,0.4998753828045457,0.5607479132776151,215069.0,101014.4,0.0,1.0,0.0,0.0,1,-1,5.1056,1.397
2023-05-06 04:00:00+00:00,22.64,0.44691650568563573,ranging,1,0,0,0,58.02268480967049,0.11581595403412408,0.1254247000590775,20.03452823870186,0.032156100745673,1.9740128343005112,0.6314480308346898,0.08370368854006717,0.0,0.0,0.0,0.0,1.0,20.03452823870186,0.0001,0.00023223,0.00059983,0.8170512227330392,0.0,0.0,25846.0,0.50505472464013,0.5027107871528506,0.7300820809820839,158701.0,90209.0,0.0,1.0,0.0,0.0,1,-1,4.7703,1.3425
2023-05-06 08:00:00+00:00,22.67,0.4321367552795188,ranging,1,0,0,0,58.523160857907136,0.10553796576064509,0.11581595403412408,20.76223190974089,0.07214094185111831,1.9062053607389446,0.6365438224411432,0.08688117246057749,0.0,0.0,0.0,1.0,0.0,20.76223190974089,0.0001,0.0003,0.00066845,0.7639802801479452,0.0,0.0,-17662.0,0.4971675068029872,0.5023005214873253,0.2253896162306413,31646.0,44650.6,0.0,1.0,0.0,0.0,1,-1,4.8963,1.427
2023-05-06 12:00:00+00:00,21.79,0.4819841299024105,ranging,1,0,0,0,42.51190742624133,0.03706468209385771,0.10553796576064509,19.60649255289001,0.057188767761230726,2.2119510321358904,1.7999531269816613,0.08661868456775904,0.0,0.0,0.0,0.0,1.0,19.60649255289001,0.0001,0.0003,0.00066845,0.7639802801479452,0.0,0.0,-541979.0,0.4667517494962572,0.4991074764066208,-1.6019033197645656,-533795.0,-80188.0,1.0,0.0,0.0,0.0,0,1,3.5337,0.8875
2023-05-06 16:00:00+00:00,21.98,0.47827097776652405,ranging,1,0,0,0,45.95023298555331,0.003905619758309241,0.03706468209385771,18.533306007242764,0.12201841835792743,2.17593711449738,0.6544047442729675,0.08172223907206552,0.0,0.0,0.0,0.0,1.0,18.533306007242764,2.441e-05,0.00022441,0.0006543699999999,-0.6044749974394465,0.0,0.0,-24.0,0.4999959634884071,0.499998761121584,0.3625703136910788,-559665.0,-102071.4,0.0,1.0,0.0,0.0,0,1,3.6397,0.9293
2023-05-06 20:00:00+00:00,21.91,0.45839447935462946,ranging,1,0,0,0,44.885108189382514,-0.02198241424663431,0.003905619758309241,17.536775643427465,0.19681595219740353,2.0921701476706045,0.3118011786006533,0.07508342630192878,0.0,0.0,0.0,0.0,1.0,17.536775643427465,2.441e-05,0.00022441,0.0006543699999999,-0.6044749974394465,0.0,0.0,-36000.0,0.4866467654014724,0.5013703058089265,-0.4096147032425577,-578003.0,-113963.8,1.0,0.0,0.0,0.0,1,1,3.9708,1.0544
2023-05-07 00:00:00+00:00,21.88,0.44779487368644183,ranging,1,0,0,0,44.40999033158307,-0.03935320611534048,-0.02198241424663431,16.86051334103752,0.26880093304143915,2.046594486683921,0.6851535322656878,0.06906092486336535,0.0,0.0,0.0,0.0,1.0,16.86051334103752,3.648e-05,0.0001608899999999,0.00069312,-0.6108792187015148,0.0,0.0,-16052.0,0.4963387842537616,0.4990639076259158,0.1320043926782552,-52076.0,-122343.4,1.0,0.0,0.0,0.0,1,-1,5.1645,1.4019
2023-05-07 04:00:00+00:00,22.05,0.43009523985169595,ranging,1,0,0,0,47.78304201190492,-0.0376217233252166,-0.03935320611534048,16.112913654507462,0.2844004470270772,1.9505453054498683,0.28208689700188677,0.06919770120869509,0.0,0.0,0.0,0.0,1.0,16.112913654507462,3.648e-05,0.0001608899999999,0.00069312,-0.6108792187015148,0.0,0.0,-5225.0,0.497923939500617,0.4974015150909737,0.2234625890338646,-57277.0,-119856.0,0.0,1.0,0.0,0.0,1,-1,5.8957,1.6792
2023-05-07 08:00:00+00:00,22.1,0.42151700843371764,ranging,1,0,0,0,48.76767877154838,-0.03158044418106012,-0.0376217233252166,15.008662673836481,0.28534956478552936,1.9073167802430662,0.6047165968134842,0.06918312295408768,0.0,0.0,0.0,0.0,1.0,15.008662673836481,-2.12e-05,3.969e-05,0.00057192,-1.870888686498991,0.0,0.0,104775.0,0.5229018696144268,0.4991663469293764,1.6590609344146972,83498.0,9494.8,1.0,0.0,0.0,0.0,1,-1,6.1086,1.7793
