time,close,atr,regime,regime_ranging,regime_trending_bull,regime_trending_bear,regime_high_volatility,rsi,macd_hist,macd_hist_prev,adx,ema_spread_pct,atr_pct,vol_ratio,bb_width,bb_squeeze,ema_bull,ema_bear,ema_bull_4h,ema_bear_4h,adx_4h,funding_rate_8h,funding_rate_24h_sum,funding_rate_3d_sum,funding_zscore,funding_extreme_long,funding_extreme_short,volume_delta,buy_ratio,buy_ratio_ma10,buy_ratio_zscore,cum_delta_3bar,delta_ma,delta_price_agree,delta_price_diverge,funding_reversal_long,funding_reversal_short,label_volatile,direction_if_volatile,max_excursion_pct,vol_magnitude
2023-02-21 20:00:00+00:00,1659.76,27.82196962832445,ranging,1,0,0,0,42.82615490842337,-8.098475435937363,-7.261771574721525,30.33510951813934,2.6745574871428595,1.6762646182776095,1.1684301267942758,0.03618049377899166,1.0,0.0,0.0,1.0,0.0,30.33510951813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-1,3.8976,1.5501
2023-02-22 00:00:00+00:00,1649.25,29.074686083444142,ranging,1,0,0,0,39.626900427376434,-8.986089030356156,-8.098475435937363,29.925430051715914,2.4677579625837143,1.762903506651153,1.3595106187487358,0.04262471520329195,0.0,0.0,0.0,1.0,0.0,29.925430051715914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-1,3.2851,1.2423
2023-02-22 04:00:00+00:00,1643.86,28.330779934626708,ranging,1,0,0,0,38.056746974190006,-9.511854134584214,-8.986089030356156,29.545013404322727,2.2530127071098507,1.7234302151416,0.7171502235339644,0.04909500759878584,0.0,0.0,0.0,1.0,0.0,29.545013404322727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-1,2.968,1.1481
2023-02-22 08:00:00+00:00,1644.49,27.814295653581937,ranging,1,0,0,0,38.36415965921467,-9.377396363976414,-9.511854134584214,29.42810470052411,2.0522508806130424,1.6913630154991477,0.8332423099599925,0.053901555822834665,0.0,0.0,0.0,1.0,0.0,29.42810470052411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-1,3.0052,1.1845
2023-02-22 12:00:00+00:00,1613.73,29.121845964040364,ranging,1,0,0,0,30.424792810849922,-10.81803566865052,-9.377396363976414,30.00614276014468,1.7996916700445245,1.8046293967417328,1.5235249339846129,0.06565780570762059,0.0,0.0,0.0,1.0,0.0,30.00614276014468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,4.0447,1.4942
2023-02-22 16:00:00+00:00,1616.1,29.536714109466057,ranging,1,0,0,0,31.59933122704621,-11.031458918684265,-10.81803566865052,30.81927965833935,1.545378036495984,1.827653864826809,1.4874162083712708,0.07368790554297791,0.0,0.0,0.0,1.0,0.0,30.81927965833935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,3.8921,1.4197
2023-02-22 20:00:00+00:00,1643.14,29.91552024450419,ranging,1,0,0,0,43.34984475243431,-8.864974228671134,-11.031458918684265,30.605669078037547,1.3912866938625608,1.82063124532932,0.6661777487755516,0.07327107420677882,0.0,0.0,0.0,1.0,0.0,30.605669078037547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,2.1824,0.7991
2023-02-23 00:00:00+00:00,1667.44,30.765125941325316,ranging,1,0,0,0,51.42568075817261,-5.4750353851051745,-8.864974228671134,28.675126601639377,1.3373215161941212,1.84505145260551,1.1467211256669585,0.07308976252405022,0.0,0.0,0.0,1.0,0.0,28.675126601639377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-1,2.3203,0.8384
2023-02-23 04:00:00+00:00,1666.7,29.461902659802078,ranging,1,0,0,0,51.18637623857343,-3.081480964991853,-5.4750353851051745,26.882480016412504,1.3011322918901813,1.7676788060120043,0.6016590566992978,0.073067851154957,0.0,0.0,0.0,1.0,0.0,26.882480016412504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,2.277,0.8587
2023-02-23 08:00:00+00:00,1637.48,30.364623898387656,ranging,1,0,0,0,42.73077008127822,-3.2484188232765163,-3.081480964991853,26.282037571508653,1.1868896475189057,1.8543508255604741,1.1214134368078394,0.07505509573500951,0.0,0.0,0.0,1.0,0.0,26.282037571508653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,2.066,0.7428
