time,close,atr,regime,regime_ranging,regime_trending_bull,regime_trending_bear,regime_high_volatility,rsi,macd_hist,macd_hist_prev,adx,ema_spread_pct,atr_pct,vol_ratio,bb_width,bb_squeeze,ema_bull,ema_bear,ema_bull_4h,ema_bear_4h,adx_4h,funding_rate_8h,funding_rate_24h_sum,funding_rate_3d_sum,funding_zscore,funding_extreme_long,funding_extreme_short,volume_delta,buy_ratio,buy_ratio_ma10,buy_ratio_zscore,cum_delta_3bar,delta_ma,delta_price_agree,delta_price_diverge,funding_reversal_long,funding_reversal_short,label_volatile,direction_if_volatile,max_excursion_pct,vol_magnitude
2023-05-04 00:00:00+00:00,29096.86,440.2488239707577,ranging,1,0,0,0,59.02236102891083,67.83172324443288,38.09458294253264,16.448448762883295,0.29191094092356057,1.5130458199639332,0.6236438492301872,0.05239017063818254,1.0,0.0,0.0,1.0,0.0,16.448448762883295,0.0001,0.00021136,0.00032207,1.4597476767006066,0.0,0.0,2226.6959999999963,0.5228015739104714,0.50824146113943,1.291403807891427,15443.265000000014,2131.3758000000003,1.0,0.0,0.0,0.0,0,1,1.4921,0.6574
2023-05-04 04:00:00+00:00,29058.19,423.04676511570347,ranging,1,0,0,0,58.11802433818066,81.04393970546482,67.83172324443288,15.81872165541309,0.36257357007833685,1.4558606888994237,0.6106389513830446,0.05002525764058528,1.0,0.0,0.0,1.0,0.0,15.81872165541309,0.0001,0.00021136,0.00032207,1.4597476767006066,0.0,0.0,360.2830000000031,0.5035783916604265,0.5071156387007052,0.3001881556943884,12343.299000000006,2462.3098000000014,0.0,1.0,0.0,0.0,0,1,1.6271,0.7451
2023-05-04 08:00:00+00:00,29154.66,421.20413903601036,ranging,1,0,0,0,59.77388743530212,91.6456513811977,81.04393970546482,15.615501137273515,0.4394473238974999,1.4447232073226386,0.7450884776116945,0.05436564717566222,1.0,0.0,0.0,1.0,0.0,15.615501137273515,9.992e-05,0.00025693,0.00048569,1.3550584913480317,0.0,0.0,2144.748999999996,0.5137325944926197,0.5082400268246001,0.7833344623854572,4731.727999999996,3589.6594000000027,1.0,0.0,0.0,0.0,0,-1,1.6842,0.7772
2023-05-04 12:00:00+00:00,28866.19,431.77741481915245,ranging,1,0,0,0,53.023086092892754,75.28053949937203,91.6456513811977,14.563023637367374,0.4547420674663319,1.4957894159885752,1.4816785770048755,0.055423207791118284,1.0,0.0,0.0,1.0,0.0,14.563023637367374,9.992e-05,0.00025693,0.00048569,1.3550584913480317,0.0,0.0,-8404.568,0.4712043635940035,0.5029285524316959,-1.3559181188945848,-5899.536,1216.6960000000006,1.0,0.0,0.0,0.0,1,1,2.3031,1.0265
2023-05-04 16:00:00+00:00,28895.12,422.3168851892129,ranging,1,0,0,0,53.58918907927772,62.9551781712842,75.28053949937203,13.585723101740243,0.46766754586498566,1.4615508957540682,0.7167604374965834,0.056675932057705866,1.0,0.0,0.0,1.0,0.0,13.585723101740243,9.992e-05,0.00025693,0.00048569,1.3550584913480317,0.0,0.0,-907.0010000000038,0.493854254712389,0.5036762120415755,-0.2399881124487664,-7166.820000000007,-915.9682000000016,0.0,1.0,0.0,0.0,1,1,2.7059,1.2343
2023-05-04 20:00:00+00:00,28838.16,404.4371076756977,ranging,1,0,0,0,52.254018098151256,48.18318330394162,62.9551781712842,12.678229747229336,0.4674304545838015,1.402437283362384,0.35016563229161335,0.056083414153908585,1.0,0.0,0.0,1.0,0.0,12.678229747229336,4.314e-05,0.00024306,0.00052317,-0.1705232088349332,0.0,0.0,-592.469000000001,0.4899380248401301,0.5008383258932569,-0.4161558457266948,-9904.038000000004,-1479.801200000001,1.0,0.0,0.0,0.0,1,1,2.9088,1.3827
2023-05-05 00:00:00+00:00,29198.23,426.3508856988621,ranging,1,0,0,0,59.17799584591678,59.156119434551684,48.18318330394162,13.344424230695973,0.5280316150523489,1.4601942847181562,1.3366049451241662,0.053996039710101015,1.0,0.0,0.0,1.0,0.0,13.344424230695973,4.314e-05,0.00024306,0.00052317,-0.1705232088349332,0.0,0.0,5619.750999999989,0.5244279564563945,0.5045190300760083,1.2450763980428985,4120.2809999999845,-427.90760000000375,1.0,0.0,0.0,0.0,0,1,2.1295,0.9722
2023-05-05 04:00:00+00:00,29062.29,413.40653672037206,ranging,1,0,0,0,55.88308106051837,53.90123191615522,59.156119434551684,13.963033393914992,0.560275565865377,1.422484383441126,0.7936134861602897,0.05214751445544771,1.0,0.0,0.0,1.0,0.0,13.963033393914992,3.731e-05,0.00018037,0.0005508,-0.3140091989180686,0.0,0.0,-1243.447,0.4882075015853454,0.5046324243905232,-0.5257154908244036,3783.834999999988,-1105.546800000003,1.0,0.0,0.0,0.0,1,1,2.6072,1.2219
2023-05-05 08:00:00+00:00,29149.36,396.28464124034554,ranging,1,0,0,0,57.514735629563894,52.85965420409302,53.90123191615522,14.509029313355766,0.5990545009341999,1.3594968851472056,0.5990484123049256,0.049546832188945795,1.0,0.0,0.0,1.0,0.0,14.509029313355766,9.909e-05,0.00017954,0.00058854,1.2725546149941485,0.0,0.0,1017.3229999999968,0.5115328211363479,0.5050325261558208,0.6716257606803623,5393.626999999986,778.8313999999962,1.0,0.0,0.0,0.0,1,1,2.3007,1.1282
2023-05-05 12:00:00+00:00,29356.45,413.6921668660353,ranging,1,0,0,0,61.19118582456736,62.05241684511624,52.85965420409302,15.58358555840423,0.667043556635242,1.4092036566616035,1.7588272373320755,0.04774241682873586,1.0,0.0,0.0,1.0,0.0,15.58358555840423,9.909e-05,0.00017954,0.00058854,1.2725546149941485,0.0,0.0,1355.6609999999928,0.5035185302835301,0.5022796012671659,0.3288776502739031,1129.5369999999891,1231.3637999999955,1.0,0.0,0.0,0.0,1,-1,3.5987,1.7025
2023-05-05 16:00:00+00:00,29561.66,409.9441549470328,ranging,1,0,0,0,64.47202465429648,76.9165587214874,62.05241684511624,17.063736272574804,0.761167867398592,1.3867426759763586,1.3220110462924581,0.047132940293964844,1.0,0.0,0.0,1.0,0.0,17.063736272574804,8.548e-05,0.00022188,0.00066198,0.91839479847177,0.0,0.0,5529.523000000016,0.5207559573891859,0.5020750396150373,1.2166825651343165,7902.507000000005,2455.7621999999988,1.0,0.0,0.0,0.0,1,-1,4.2679,2.0518
2023-05-05 20:00:00+00:00,29505.61,394.898858165102,ranging,1,0,0,0,62.90772382722331,77.70789710576274,76.9165587214874,18.438161935733195,0.8351320705321014,1.3383856770461686,0.4842330198574678,0.04953558560739243,1.0,0.0,0.0,1.0,0.0,18.438161935733195,8.548e-05,0.00022188,0.00066198,0.91839479847177,0.0,0.0,9.34599999999773,0.5001145864449409,0.5017286590934887,0.0198697935646605,6894.530000000006,1333.6812000000004,0.0,1.0,0.0,0.0,1,-1,4.086,2.0353
2023-05-06 00:00:00+00:00,29353.61,401.1325111533089,ranging,1,0,0,0,58.745045382803475,63.33677477147364,77.70789710576274,20.05040736199554,0.8706767955165199,1.366552567651164,0.9248090516377567,0.050541343686852674,1.0,0.0,0.0,1.0,0.0,20.05040736199554,8.548e-05,0.00022188,0.00066198,0.91839479847177,0.0,0.0,1489.406000000003,0.5096728956036003,0.5013226892045868,0.5209163056818018,7028.275000000016,1880.251800000001,0.0,1.0,0.0,0.0,1,-1,3.5894,1.7511
2023-05-06 04:00:00+00:00,29363.35,385.7916174995009,ranging,1,0,0,0,58.932573517266505,50.39298540883527,63.33677477147364,21.15279019600753,0.8961256711443719,1.3138542349544617,0.4764265841307105,0.0510556955842085,1.0,0.0,0.0,1.0,0.0,21.15279019600753,0.0001,0.00028457,0.0006763,1.2144780086300548,0.0,0.0,-1365.662000000004,0.4840191635886385,0.5026041692040504,-1.0653188100992754,133.0899999999965,1403.654800000001,0.0,1.0,0.0,0.0,1,-1,3.6214,1.8375
2023-05-06 08:00:00+00:00,29266.15,375.0250733923938,ranging,1,0,0,0,56.18769259526442,32.082838751920406,50.39298540883527,21.651376535374986,0.899585116136382,1.2814294787404348,0.8055201962502505,0.049250976754528594,1.0,0.0,0.0,1.0,0.0,21.651376535374986,0.0001,0.00028548,0.00072195,1.1339191194328446,0.0,0.0,-1711.6460000000006,0.4852585274405361,0.501744596476865,-0.9892343482451488,-1587.902000000002,790.1934000000023,1.0,0.0,0.0,0.0,1,-1,3.3013,1.7175
2023-05-06 12:00:00+00:00,28576.61,417.32613957865146,ranging,1,0,0,0,41.441461187645345,-26.50586681455684,32.082838751920406,20.757923867282653,0.7831015711516099,1.460376649219944,1.8671611126513192,0.04989881257275609,1.0,0.0,0.0,1.0,0.0,20.757923867282653,0.0001,0.00028548,0.00072195,1.1339191194328446,0.0,0.0,-14442.90400000001,0.4602501346875191,0.4987758074616039,-2.387899018090197,-17520.212000000014,-3204.292000000002,1.0,0.0,0.0,0.0,0,1,1.9655,0.8973
