time,close,regime,rsi,macd_hist,macd_hist_prev,adx,ema_spread_pct,atr_pct,vol_ratio,bb_width,bb_squeeze,ema_bull,ema_bear,ema_bull_4h,ema_bear_4h,adx_4h,label_long,label_short,forward_return_pct,forward_bars_used
2023-03-24 20:00:00+00:00,1749.57,ranging,44.75761643731888,-4.855711301016058,-2.7305480862329254,21.315595808311492,1.4771926580263584,2.152157397002022,0.7582262317711426,0.07451970717041265,0.0,1.0,0.0,1.0,0.0,21.315595808311492,1,0,0.7568,10
2023-03-25 04:00:00+00:00,1747.25,ranging,44.50220812752099,-6.396451917676232,-5.60027092966119,19.06911507446413,1.2012923748420783,1.99003434810185,0.48445158458638354,0.07651548355191869,0.0,1.0,0.0,1.0,0.0,19.06911507446413,1,0,1.5241,10
2023-03-25 12:00:00+00:00,1754.93,ranging,46.56707390900946,-6.015691430907237,-6.737903012095274,17.148656340547642,0.9650140244271745,1.8629320001595562,0.5680429267509917,0.07742056500345948,0.0,1.0,0.0,1.0,0.0,17.148656340547642,0,0,-0.1556,10
2023-03-25 20:00:00+00:00,1741.88,ranging,45.32482761284714,-6.751656973994257,-7.6905805657177195,16.662177875946874,0.6622506739386356,1.9068573753697093,0.44406599925186313,0.08101866173585358,0.0,1.0,0.0,1.0,0.0,16.662177875946874,0,0,-1.7303,10
2023-03-26 04:00:00+00:00,1752.55,ranging,47.777122332457864,-3.9084949520908676,-5.3065797317612,15.255643188356144,0.5407932938576827,1.739256693967563,0.31467576252718554,0.07552284660072933,1.0,1.0,0.0,1.0,0.0,15.255643188356144,0,0,-2.13,8
2023-03-26 12:00:00+00:00,1762.81,ranging,49.95910857043291,-0.3352398398240015,-1.1855791346657196,15.094324378151647,0.5521147907096214,1.8277251334030014,1.3882170844506199,0.07298010197161024,1.0,1.0,0.0,1.0,0.0,15.094324378151647,0,1,-2.1715,10
2023-03-26 20:00:00+00:00,1773.88,ranging,52.52508771732558,1.4584715724870314,0.443757899115369,15.751199909652462,0.554027355403427,1.7495302930667562,0.6107696291177006,0.06391006712626482,1.0,1.0,0.0,1.0,0.0,15.751199909652462,0,1,-1.6799,10
2023-03-27 04:00:00+00:00,1752.2,ranging,47.095008406147464,0.6329405263611201,1.483339082688318,16.034930309562924,0.48566792853419055,1.6956356864746964,0.8006069302391075,0.052190526891853814,1.0,1.0,0.0,1.0,0.0,16.034930309562924,0,0,1.1865,10
2023-03-27 12:00:00+00:00,1711.74,ranging,39.31565678051094,-2.321244762995178,0.9376144668409059,16.220018770318717,0.3006481642167598,1.9245057828229766,2.9642184178949096,0.041785620819464735,1.0,1.0,0.0,1.0,0.0,16.220018770318717,1,0,5.4401,10
2023-03-27 20:00:00+00:00,1715.22,ranging,41.01974562538172,-5.175340679125384,-4.668734453885804,16.866313932415075,0.013616126716708707,1.862790869299176,0.9715659564566075,0.04800226667858415,1.0,0.0,0.0,0.0,1.0,16.866313932415075,1,0,5.3906,8
2023-03-28 04:00:00+00:00,1724.53,ranging,43.980658061545725,-4.365343634191557,-5.396613031057495,16.24747727515604,0.1988344373271154,1.8061243133380422,0.9167121494847557,0.05201675389680413,1.0,0.0,0.0,0.0,1.0,16.24747727515604,1,0,3.9744,6
2023-03-28 12:00:00+00:00,1744.08,ranging,49.05879638019099,-0.5451464308097975,-2.078108132651728,14.212569970805747,0.17530115253217665,1.7971170871434954,1.3641506704641333,0.05166026801684805,1.0,0.0,0.0,0.0,1.0,14.212569970805747,1,0,3.5772,10
2023-03-28 20:00:00+00:00,1772.99,ranging,55.00375088543627,4.618423173836334,3.190941726579908,15.421519250101266,0.047540322952533465,1.8950732448257401,0.8011029033480129,0.05737550817947458,1.0,1.0,0.0,1.0,0.0,15.421519250101266,1,0,0.9267,10
2023-03-29 04:00:00+00:00,1804.86,ranging,61.260898347172876,7.773683044021636,5.658446292323925,17.29713969114655,0.28721685136218617,1.823901597167429,1.5365960786764068,0.06313036489187437,0.0,1.0,0.0,1.0,0.0,17.29713969114655,0,1,-0.6233,10
2023-03-29 12:00:00+00:00,1807.68,ranging,61.319091952906426,9.288083505888853,9.130445996972718,19.77413792911802,0.5622035667860334,1.7689375365677569,1.1138035977105112,0.07411806469883458,0.0,1.0,0.0,1.0,0.0,19.77413792911802,0,1,-0.6887,10
2023-03-29 20:00:00+00:00,1793.07,ranging,56.52051283017726,7.262332150523008,8.976129577037149,20.965196586855026,0.7170683816604981,1.7192288326820542,0.7254818203832069,0.07947059630318348,0.0,1.0,0.0,1.0,0.0,20.965196586855026,1,0,2.0931,10
2023-03-30 04:00:00+00:00,1806.47,ranging,59.31694879630409,5.116222373680301,5.415812323557497,22.699478193728396,0.7985769063465074,1.8131338728544912,0.824330751539056,0.08320565837501634,0.0,1.0,0.0,1.0,0.0,22.699478193728396,1,0,0.8331,10
2023-03-30 12:00:00+00:00,1789.42,ranging,53.78925982938406,2.7828394610652136,4.47178926180402,23.604337057160322,0.8539758673854808,1.720703080090857,0.9255291984614847,0.08578635261822873,0.0,1.0,0.0,1.0,0.0,23.604337057160322,1,0,1.9023,10
2023-03-30 20:00:00+00:00,1793.61,ranging,54.725033537922336,0.49611762537652204,0.9936524330186138,21.885751214452622,0.8268545287633468,1.6700079654723667,0.7013415416370513,0.0808099830495374,0.0,1.0,0.0,1.0,0.0,21.885751214452622,1,0,1.4925,10
2023-03-31 04:00:00+00:00,1795.23,ranging,54.52773472393619,0.15976550401194345,0.6812302104674757,21.415974481401527,0.8591531846698657,1.6659225314279567,0.772147717349421,0.06507023263971519,1.0,1.0,0.0,1.0,0.0,21.415974481401527,1,0,1.4238,10
