time,close,regime,funding_rate_8h,funding_rate_24h_sum,funding_rate_3d_sum,funding_zscore,funding_extreme_long,funding_extreme_short,taker_buy_vol,taker_sell_vol,volume_delta,buy_ratio,buy_ratio_ma10,buy_ratio_zscore,cum_delta_3bar,delta_ma,n_trades,delta_price_agree,delta_price_diverge,funding_reversal_long,funding_reversal_short,ema20,ema50,ema200,rsi,macd,macd_sig,macd_hist,atr,atr_pct,bb_upper,bb_lower,bb_mid,bb_width,vol_ratio,adx,ema_bull,ema_bear,ema_spread_pct,macd_hist_prev,bb_squeeze,ema_bull_4h,ema_bear_4h,adx_4h,label_long,label_short,forward_return_pct,forward_bars_used
2023-06-04 00:00:00+00:00,27061.38,ranging,4.85e-05,0.00020416,0.00071459,-1.114021594099277,0.0,0.0,13099.428,12175.662,923.7659999999996,0.5182742375991539,0.4950787203997668,0.935947327262106,-4456.268000000007,-272.42660000000234,240905.0,0.0,1.0,0.0,0.0,27135.213090914374,27141.145711161804,27543.118814238358,46.80634437853838,-24.740359669616737,-33.09414393515041,8.353784265533676,250.77587653813606,0.9266928609632473,27367.782323555068,26732.07467644493,27049.928499999998,0.023501269037000064,0.41103324994443874,15.402473248042579,0.0,1.0,0.021922829683591303,14.478611453576455,1.0,0.0,1.0,15.402473248042579,0,0,-5.2894,8
2023-06-04 08:00:00+00:00,27198.55,ranging,0.0001,0.00020416,0.00071818,0.8047781415566684,0.0,0.0,14425.747,15241.718,-815.9710000000014,0.4862480498418048,0.5002389263069259,-0.3491690513484127,2479.6439999999966,-580.078000000002,275547.0,0.0,1.0,0.0,0.0,27142.558108435576,27143.74742502864,27535.821993580685,51.90350345195997,-13.134638863990403,-27.089664045739465,13.955025181749061,234.3165466068621,0.8615038176919801,27360.592699141722,26775.135300858274,27067.863999999998,0.021629242642988992,0.6206901290973912,14.078099200622903,0.0,1.0,0.0043727205790870015,10.062894375894736,1.0,0.0,1.0,14.078099200622903,0,1,-5.3963,7
2023-06-04 16:00:00+00:00,27213.11,ranging,0.0001,0.0002485,0.00071818,0.8047781415566688,0.0,0.0,9244.048,8512.425999999998,731.622000000003,0.5206015563675537,0.5051753728573811,0.8841820581751055,-307.03999999999724,597.7150000000001,174577.0,1.0,0.0,0.0,0.0,27152.41745384409,27147.795766049123,27529.09578940593,52.47157306769922,-2.5148303142705117,-19.24223172811587,16.727401413845357,215.96972641101883,0.7936238320832085,27360.329962224896,26845.0460377751,27102.688,0.01901228116007447,0.4688809014967943,12.356278416596954,0.0,0.0,0.016983313538828967,14.66232785664905,1.0,1.0,0.0,12.356278416596954,0,1,-5.6093,5
2023-06-05 00:00:00+00:00,26843.58,ranging,0.0001,0.0002485,0.00071818,0.8047781415566688,0.0,0.0,37964.721,42486.418,-4521.697,0.4718978683446607,0.5056582415737008,-1.0183746576163366,-2426.004000000001,-692.9332000000002,675205.0,1.0,0.0,0.0,0.0,27119.798278543574,27134.637975503247,27518.1974479905,39.098799992285024,-29.27014874105589,-19.03330513961609,-10.236843601439801,237.66711103807236,0.8853778484020103,27355.39056920082,26870.148430799185,27112.769500000002,0.0178971808247629,1.566545985475244,12.035825314379833,0.0,1.0,0.05528210827196833,11.072549955438934,1.0,0.0,1.0,12.035825314379833,0,1,0.8812,3
2023-06-05 08:00:00+00:00,26773.39,ranging,9.538e-05,0.00029538,0.0007732,0.6334388166174447,0.0,0.0,22742.988,25407.386,-2664.398000000001,0.4723325305842899,0.4996052748347875,-1.0569152827613175,-9548.182999999995,-1490.4979999999996,414060.0,1.0,0.0,0.0,0.0,27061.834872005056,27108.99291779442,27504.006730968835,37.01016575250333,-67.92043253347947,-33.56078770551429,-34.359644827965184,225.90102941548082,0.8437520590985335,27382.193269259158,26821.890730740844,27102.042,0.02067381264180363,1.154684350575183,11.442499194281275,0.0,1.0,0.17613774643168137,-23.750285435627596,1.0,0.0,1.0,11.442499194281275,0,1,0.5065,1
2023-06-05 16:00:00+00:00,25629.99,ranging,7.856e-05,0.00027394,0.0007523,-0.0301728803860302,0.0,0.0,127779.642,141423.10600000003,-13643.464000000022,0.474659500875526,0.4906618249221938,-0.8054319323656398,-36097.64500000002,-8596.286000000004,1788799.0,1.0,0.0,0.0,0.0,26834.62156189076,27009.492085976322,27470.617644936934,18.744796390741012,-230.8117223167974,-90.56649965081192,-140.24522266598547,298.04767332253186,1.1628864206444554,27822.285947956083,26127.510052043912,26974.897999999997,0.06282788894742469,4.8356865859493725,16.586968805109674,0.0,1.0,0.6822886941647787,-87.77762511520501,0.0,0.0,1.0,16.586968805109674,1,0,4.9401,6
2023-06-06 00:00:00+00:00,25730.83,ranging,-7.157e-05,0.00010237,0.00060653,-3.838307437888795,0.0,0.0,23111.122,22473.963,637.1589999999997,0.5069886784240942,0.4861232923163702,0.4194878259579878,-14920.105000000018,-7474.857200000003,386605.0,1.0,0.0,0.0,1.0,26634.160643633935,26911.07218701621,27436.141348410867,22.564494109545155,-330.9507363837147,-170.38050695237558,-160.5702294313391,294.393044854632,1.1441257233234683,27956.393246820193,25705.81175317981,26831.1025,0.08387957571405424,1.0343730179030324,22.01347999663826,0.0,1.0,1.0761858182665445,-158.68579977491555,0.0,0.0,1.0,22.01347999663826,1,0,2.921,4
2023-06-06 08:00:00+00:00,25686.64,trending_bear,-7.157e-05,0.00010237,0.00060653,-3.838307437888795,0.0,0.0,17848.374,19592.502,-1744.127999999997,0.4767082372752176,0.4815153643520126,-0.6840841521148192,-1441.4819999999909,-3399.749200000001,355970.0,1.0,0.0,0.0,1.0,26465.35014138742,26818.26602884503,27401.850205648843,22.00716915988333,-382.89392826351104,-243.34781526647077,-139.54611299704027,272.6724213287387,1.0615340166278608,27967.33349888862,25397.18950111138,26682.2615,0.09632406899906676,0.8258839053291012,26.583213393342668,0.0,1.0,1.3739277984882932,-152.32312025934039,0.0,0.0,1.0,26.583213393342668,1,0,2.5598,2
2023-06-06 16:00:00+00:00,27080.13,trending_bear,-3.047e-05,-2.348e-05,0.00047606,-2.3778265287198512,0.0,0.0,135549.029,113902.261,21646.76800000001,0.5433887674022452,0.4887752419881209,1.8019148080470544,24574.93100000001,4975.515400000004,1957595.0,1.0,0.0,0.0,1.0,26489.498959276323,26800.19560755745,27385.490310484885,58.90937764589036,-266.9612030098069,-267.62790283009974,0.6666998202928198,369.8840265538613,1.365887189440602,27911.75884080022,25336.967159199776,26624.362999999998,0.09670810458828055,2.9148547536422,26.074090884973234,0.0,1.0,1.1473233262954268,-97.78705007480846,0.0,0.0,1.0,26.074090884973234,0,1,-2.3934,10
2023-06-07 00:00:00+00:00,26909.01,ranging,0.0001,0.00011241,0.00051478,0.7059435049476908,0.0,0.0,56134.557,58238.546,-2103.9890000000014,0.4908020813250122,0.4939563180817865,-0.2134460904697125,22001.31700000001,4985.8960000000025,932896.0,1.0,0.0,0.0,0.0,26593.266631062932,26820.659943769875,27379.21822839811,54.437835177853636,-126.02005875987015,-224.4363291008354,98.41627034096524,399.872094324503,1.486015629428593,27878.6966414147,25343.77635858529,26611.236499999995,0.09525751585535353,1.3565534820777414,24.84209318319427,0.0,1.0,0.8450452569862031,74.35002457609238,0.0,0.0,1.0,24.84209318319427,0,1,-1.3717,10
