entry_time,exit_time,symbol,direction,strategy,regime,score,entry_price,exit_price,qty,stop_loss,trail_stop,pnl,pnl_pct,exit_reason
2023-07-14 00:00:00+00:00,2023-07-14 16:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,52.70239818928667,31516.628,30839.6225,0.177064,30895.2339,0.0,-119.8733,-2.148,stop_loss
2023-09-01 12:00:00+00:00,2023-09-01 16:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,64.87996780545927,25764.5402,25783.4964,0.197226,25737.1695,0.0,-3.7387,-0.074,breakeven
2023-11-02 04:00:00+00:00,2023-11-02 12:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,60.60251617474215,35343.3537,34517.8504,0.141141,34580.0946,0.0,-116.5124,-2.336,stop_loss
2023-12-01 16:00:00+00:00,2023-12-02 16:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,59.591373921667675,38832.1723,38797.338,0.154242,38867.2991,0.0,-5.3729,-0.09,breakeven
2023-12-14 16:00:00+00:00,2023-12-15 12:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,71.13443745110493,43171.6994,41817.4248,0.0812,41892.8319,0.0,-109.9671,-3.137,stop_loss
2024-01-19 12:00:00+00:00,2024-01-19 16:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,66.2374094912133,40821.0995,41917.6215,0.101779,41842.3054,0.0,-111.6029,-2.686,stop_loss
2024-03-31 20:00:00+00:00,2024-04-01 04:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,55.567200298182236,71408.314,70009.6562,0.083322,70135.9008,0.0,-116.539,-1.959,stop_loss
2024-04-17 16:00:00+00:00,2024-04-18 12:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,71.2064181024245,60912.5098,63739.0288,0.036187,63624.5047,0.0,-102.2832,-4.64,stop_loss
2024-08-29 16:00:00+00:00,2024-08-30 16:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,59.24174259642348,59151.3356,59167.018,0.0546,59060.7087,0.0,-0.8563,-0.027,breakeven
2024-09-04 00:00:00+00:00,2024-09-04 12:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,59.93997193518116,56552.0028,58181.4744,0.06545,58076.935900000004,0.0,-106.6489,-2.881,stop_loss
