entry_time,exit_time,symbol,direction,strategy,regime,vol_score,entry_price,exit_price,qty,stop_loss,trail_stop,pnl,pnl_pct,exit_reason,commission
2023-07-12 04:00:00+00:00,2023-07-12 16:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,58.7,30795.332,30159.273,0.189991,30213.658,0.0,-120.8454,-2.065,stop_loss,21.0252
2023-08-22 00:00:00+00:00,2023-08-22 20:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,55.7,26009.0892,26030.814,0.217603,25984.045,0.0,-4.7273,-0.084,breakeven,20.4115
2023-08-27 12:00:00+00:00,2023-08-29 12:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,58.0,26075.1301,26475.4,0.32303,26427.832,0.0,-129.2991,-1.535,stop_loss,30.3777
2023-09-04 00:00:00+00:00,2023-09-05 04:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,57.5,25940.7824,25760.354,0.134933,25916.777,25714.07,24.3459,0.696,trail_stop_partial,21.0395
2023-09-05 16:00:00+00:00,2023-09-07 20:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,56.7,25637.6989,26120.121,0.251342,26073.191,0.0,-121.2529,-1.882,stop_loss,23.2396
2023-09-12 00:00:00+00:00,2023-09-12 08:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,58.6,25751.5337,26358.232,0.188388,26310.875,0.0,-114.2948,-2.356,stop_loss,17.4961
2023-09-27 08:00:00+00:00,2023-09-27 12:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,60.5,26718.5199,26745.105,0.250503,26697.053,0.0,-6.6599,-0.1,breakeven,24.1385
2023-10-06 08:00:00+00:00,2023-10-06 12:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,55.2,27809.968,27218.557,0.193792,27267.639,0.0,-114.6109,-2.127,stop_loss,19.3668
2023-10-29 12:00:00+00:00,2023-11-01 12:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,55.1,34512.0,34488.215,0.133511,34550.406,0.0,-3.1756,-0.069,breakeven,16.558
2023-11-13 00:00:00+00:00,2023-11-14 12:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,60.1,36980.4552,36095.84,0.125136,36160.93,0.0,-110.6975,-2.392,stop_loss,16.6294
2023-12-01 08:00:00+00:00,2023-12-02 20:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,62.6,38649.6143,39581.934,0.071484,38692.168,39653.31,66.646,2.412,trail_stop_partial,16.5472
