entry_time,exit_time,symbol,direction,strategy,regime,vol_score,entry_price,exit_price,qty,stop_loss,trail_stop,pnl,pnl_pct,exit_reason,commission
2023-07-13 16:00:00+00:00,2023-07-14 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.5,26.2472,29.2797,33.007713,26.3404,29.3325,100.0959,11.554,trail_stop_partial,5.1888
2023-08-11 12:00:00+00:00,2023-08-13 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.6,24.5942,24.8443,79.23483,24.6348,24.8891,19.8166,1.017,trail_stop_partial,11.6713
2023-08-13 00:00:00+00:00,2023-08-14 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,68.8,24.9448,24.1241,139.03004,24.1676,0.0,-114.1019,-3.29,stop_loss,12.4627
2023-08-21 00:00:00+00:00,2023-08-21 12:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,66.9,21.3615,21.3487,102.13178,21.3103,0.0,1.3116,0.06,breakeven,7.8682
2023-08-22 00:00:00+00:00,2023-08-22 20:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,62.4,21.072,19.4606,62.302242,21.0216,19.4256,100.396,7.647,trail_stop_partial,7.8912
2023-08-23 08:00:00+00:00,2023-08-23 16:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,60.2,20.5929,21.6543,103.40596,21.615398,0.0,-109.7556,-5.154,stop_loss,7.6798
2023-08-28 00:00:00+00:00,2023-08-29 12:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,65.5,20.4531,21.2185,145.99255,21.180399,0.0,-111.746,-3.742,stop_loss,10.769
2023-09-03 20:00:00+00:00,2023-09-05 12:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,61.4,19.5348,20.2622,152.00122,20.2258,0.0,-110.5665,-3.724,stop_loss,10.7088
2023-09-10 12:00:00+00:00,2023-09-11 08:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,62.2,18.1872,18.1818,135.30205,18.1491,0.0,0.7352,0.03,breakeven,8.8747
2023-09-26 20:00:00+00:00,2023-09-28 12:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,63.6,18.9957,19.6116,180.40271,19.5764,0.0,-111.1166,-3.243,stop_loss,12.359
2023-10-01 08:00:00+00:00,2023-10-01 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.5,23.0113,23.0259,90.11941,23.0674,0.0,1.3139,0.063,breakeven,7.4522
2023-10-16 12:00:00+00:00,2023-10-16 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.6,23.1917,23.1981,105.786896,23.2399,0.0,0.6737,0.027,breakeven,8.8163
2023-10-19 12:00:00+00:00,2023-10-19 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,62.1,24.8146,24.8229,95.80886,24.8677,0.0,0.7989,0.034,breakeven,8.5435
2023-10-20 12:00:00+00:00,2023-10-21 04:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.1,26.9284,26.9463,76.08288,26.9949,0.0,1.3625,0.067,breakeven,7.3624
2023-10-21 12:00:00+00:00,2023-10-23 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.7,29.0923,29.1276,57.23787,29.1801,0.0,2.019,0.121,breakeven,5.9839
2023-10-23 00:00:00+00:00,2023-10-23 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.8,30.7152,30.7604,49.807804,30.8159,0.0,2.2528,0.147,breakeven,5.4976
2023-10-24 00:00:00+00:00,2023-10-25 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.2,31.4565,33.3401,24.986584,31.5764,33.4002,47.0643,5.988,trail_stop_partial,4.7075
2023-10-29 16:00:00+00:00,2023-10-30 08:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.1,33.0594,33.0891,56.803104,33.1488,0.0,1.6889,0.09,breakeven,6.7482
2023-10-30 16:00:00+00:00,2023-10-31 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,62.4,34.9428,34.9787,51.236816,35.0418,0.0,1.8408,0.103,breakeven,6.4337
2023-10-31 20:00:00+00:00,2023-11-01 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,74.1,38.4691,46.622,23.417213,38.5984,46.7061,190.9188,21.193,trail_stop_partial,5.3953
2023-11-01 20:00:00+00:00,2023-11-02 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,65.1,41.2241,44.1333,16.095085,41.4155,44.2129,46.8241,7.057,trail_stop_partial,3.9739
2023-11-09 08:00:00+00:00,2023-11-09 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,66.5,47.2148,43.7712,30.807436,43.8501,0.0,-106.0894,-7.294,stop_loss,5.227
2023-12-02 04:00:00+00:00,2023-12-03 04:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.2,62.1216,63.9341,18.566319,62.2887,64.0494,33.6517,2.918,trail_stop_partial,6.9078
2023-12-04 04:00:00+00:00,2023-12-04 08:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.2,63.8046,60.585,33.55916,60.6942,0.0,-108.0488,-5.046,stop_loss,7.6946
2023-12-08 00:00:00+00:00,2023-12-09 08:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,65.9,71.5986,76.9502,11.151266,71.8726,77.089,59.6775,7.474,trail_stop_partial,4.7819
2023-12-09 08:00:00+00:00,2023-12-10 08:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,72.7,77.2388,70.781,16.224247,70.9086,0.0,-104.7735,-8.361,stop_loss,4.5032
2023-12-21 12:00:00+00:00,2023-12-21 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,66.0,87.6575,87.8373,15.048198,87.9957,0.0,2.7057,0.205,breakeven,4.7402
2023-12-22 12:00:00+00:00,2023-12-23 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,64.8,96.4834,96.7475,11.563435,96.922,0.0,3.0543,0.274,breakeven,4.0092
2023-12-23 16:00:00+00:00,2023-12-23 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,70.2,103.0652,103.3394,11.020598,103.5257,0.0,3.0213,0.266,breakeven,4.0817
